UCACCSD,PackingTissue,ShellIntegrity,ShellTexture,EaseOfRemoval,ShellThickness,Seal,Plumpness,KernelFill,PercentKernel,count
12-045-14,5,7,5,5,1.15,4.5,5,5,57.32,2
12-045-15,5,7,4.5,4,0.95,3.5,4.5,4,59.26,2
12-045-3,5,7,5,5,1.15,5,5,5.5,56.64,2
12-045-7,5,7,5.2,4.6,1.04,4.4,4,4.2,59.37,5
12-045-8,4.8,7,4.6,4.2,1.14,4.8,4.6,4.4,53.42,5
12-045-9,5.25,7,5.25,5,1.15,5,5,5.25,58.96,4
12-048-11,5.2,7,4.8,5.2,1.18,4.8,4.8,5.6,54.24,5
12-048-13,5,7,5.33,5.33,1.13,4.33,5,4.67,57.02,3
12-048-14,4.5,7,4.5,5,1.25,4.5,6.5,5.5,56.57,2
12-048-3,5.2,7,4.4,4.6,1.16,4.6,4.8,5.2,59.65,5
12-048-4,5,6.8,4.6,5,1.2,4.6,5,5.4,57.41,5
12-048-5,5,7,4,5,1.25,5,5,6,52.8,2
12-048-6,5,7,4.67,5,1.2,4.67,4.67,5,53.41,3
12-048-7,4.8,7,5,4.6,1.1,4.8,5,5.2,59.76,5
12-048-8,5,7,4,4.5,1.2,5,4.5,5,54.99,2
12-048-9,5.5,7,6,4,1.2,5.5,3.5,3.5,38.83,2
12-053-19,5,6.5,3.75,5,1.2,5,6,5.75,57.24,4
12-053-20,5,7,6.5,5,1.15,5,4.5,4,57.4,2
12-053-22,5,7,5,5,1.2,4.5,5,5,58.35,2
12-053-23,5,7,5,5,1.2,5,4,5,57.21,1
12-053-24,4.6,6.6,4.4,4.2,1.16,5,5,4.6,56.96,5
12-053-3,5,7,4.5,5,1.2,5,5.5,5,57.43,2
12-053-4,5.25,7,3.5,5,1.18,5,5.5,5.75,57.16,4
12-053-5,5,7,4,5,1.07,5,4.5,5.25,58.46,4
12-054-10,5,7,6,4.5,1.2,5,5,5,56.88,2
12-054-11,5,7,4.5,5,1.45,5,6,5,54.28,2
12-054-12,5,6.5,5,4.5,1.2,5,5,5,55.33,2
12-054-14,5,7,3.5,5,1.2,5,4.5,6,58.98,2
12-054-17,6,7,5,5,1.6,5,4,5,46.96,1
12-054-2,6,5.5,6,5.5,1.05,5,5,4.5,63.7,2
12-054-21,5.5,5.5,4,4.5,1.15,5,5,6,59.74,2
12-054-22,5,7,5,5,1.2,5,4,6,54.7,2
12-054-23,5.5,7,4.5,5.5,1.25,5,5.5,6.5,54.04,2
12-054-3,5,7,4.67,5,1.13,5,5,5.33,60.28,3
12-054-4,5,6.5,4,4.5,1.05,5,5,4.5,58.07,2
12-054-8,5,7,4,4.2,1.14,4.8,4.8,4.6,61.49,5
12-054-9,5,7,6,5,1,4,5,5,60.7,1
12-059-21,5.33,7,5.33,5,1.3,5,4.67,5.67,51.17,3
12-059-22,5,7,5,5,1.2,5,5,5,55.66,1
12-059-23,5,7,4,5,1.2,5,4.5,5,51.82,2
12-059-24,5,7,5.5,5,1.45,5,4.5,5.5,45.19,2
12-059-25,5,7,5,5,1.3,4.5,4.5,4.5,50.86,2
12-059-27,5,7,4.33,5,1.17,5,5.33,5.67,55.87,3
12-059-28,5,7,4.67,4.67,1.13,4.67,4.67,5.33,59,3
12-059-29,5,7,5.5,5,1.05,4.5,5,5,59.86,2
12-059-30,5,7,4.5,5,1.4,5,5,5,50.12,2
12-059-32,5,7,5,5,1.2,5,5,5.5,51.09,2
49-049,5,7,5.3,5,1.23,5,4.6,5.2,50.09,10
53-113,5,7,6,5,1.3,5,5,5,47.12,1
59-129,4.83,6.83,5.92,4.92,1.14,5,5.4,5.67,59.72,12
64-172,4.94,6.98,4.8,4.59,1.22,4.99,4.17,4.95,47.02,101
64-182,5,6.98,5.83,4.88,1.4,5,4.76,4.84,47.23,82
67-011,5.05,7,5.18,4.59,1.15,5,4.64,4.73,53.3,22
85-023-2,7.5,7,4,7.5,2,5.5,7.5,7.5,29.41,2
85-043-1,5,7,3.75,5,1.19,4.75,5.67,6,54.89,8
91-077-40,6,7,4.67,5.33,1.23,5,5,6.33,50.29,3
91-084-2,5.33,7,5.67,5,1.23,5,5,5.33,50.73,3
91-136,6,7,6,6,2,5,3,4,36.68,1
95-011-16,5.04,7,5.02,4.84,1.26,5.04,5.06,5.59,52.88,49
95-022-26,5,7,5,5,1.27,4.25,4.33,4.75,50.28,4
95-026-37,4.8,7,5,4.8,1.48,5.4,4.6,6,52.9,5
